O*NET-SOC Code,Title,Element ID,Element Name,Scale ID,Scale Name,Data Value,N,Standard Error,Lower CI Bound,Upper CI Bound,Recommend Suppress,Not Relevant,Date,Domain Source
15-2051.00,Data Scientists,2.A.1.a,Reading Comprehension,LV,Level,4.62,8,0.2631,4.1094,5.1406,N,N,08/2026,Analyst
15-2051.00,Data Scientists,2.A.1.b,Active Listening,IM,Importance,3.50,8,0.1890,3.1296,3.8704,N,,08/2026,Analyst
15-2051.00,Data Scientists,2.A.1.b,Active Listening,LV,Level,3.75,8,0.2500,3.2600,4.2400,N,N,08/2026,Analyst
15-2051.00,Data Scientists,2.A.1.c,Writing,IM,Importance,3.50,8,0.1890,3.1296,3.8704,N,,08/2026,Analyst
15-2051.00,Data Scientists,2.A.1.c,Writing,LV,Level,4.12,8,0.2266,3.6809,4.5691,N,N,08/2026,Analyst
15-2051.00,Data Scientists,2.A.1.d,Speaking,IM,Importance,3.62,8,0.1830,3.2664,3.9836,N,,08/2026,Analyst
15-2051.00,Data Scientists,2.A.1.d,Speaking,LV,Level,3.75,8,0.1637,3.4292,4.0708,N,N,08/2026,Analyst
15-2051.00,Data Scientists,2.A.1.e,Mathematics,IM,Importance,4.38,8,0.2631,3.8594,4.8906,N,,08/2026,Analyst
15-2051.00,Data Scientists,2.A.1.e,Mathematics,LV,Level,5.00,8,0.4226,4.1717,5.8283,N,N,08/2026,Analyst
15-2051.00,Data Scientists,2.A.1.f,Science,IM,Importance,2.50,8,0.4226,1.6717,3.3283,N,,08/2026,Analyst
15-2051.00,Data Scientists,2.A.1.f,Science,LV,Level,2.12,8,0.5154,1.1148,3.1352,Y,N,08/2026,Analyst
15-2051.00,Data Scientists,2.A.2.a,Critical Thinking,IM,Importance,4.25,8,0.1637,3.9292,4.5708,N,,08/2026,Analyst
15-2051.00,Data Scientists,2.A.2.a,Critical Thinking,LV,Level,4.62,8,0.1830,4.2664,4.9836,N,N,08/2026,Analyst
15-2051.00,Data Scientists,2.A.2.b,Active Learning,IM,Importance,3.62,8,0.2631,3.1094,4.1406,N,,08/2026,Analyst
15-2051.00,Data Scientists,2.A.2.b,Active Learning,LV,Level,4.38,8,0.3750,3.6400,5.1100,N,N,08/2026,Analyst
15-2051.00,Data Scientists,2.A.2.c,Learning Strategies,IM,Importance,2.75,8,0.2500,2.2600,3.2400,N,,08/2026,Analyst
15-2051.00,Data Scientists,2.A.2.c,Learning Strategies,LV,Level,3.00,8,0.3273,2.3584,3.6416,N,N,08/2026,Analyst
15-2051.00,Data Scientists,2.A.2.d,Monitoring,IM,Importance,3.25,8,0.1637,2.9292,3.5708,N,,08/2026,Analyst
15-2051.00,Data Scientists,2.A.2.d,Monitoring,LV,Level,3.62,8,0.3750,2.8900,4.3600,N,N,08/2026,Analyst
15-2051.01,Business Intelligence Analysts,2.A.1.a,Reading Comprehension,IM,Importance,4.00,8,0.0000,4.0000,4.0000,N,,08/2024,Analyst
15-2051.01,Business Intelligence Analysts,2.A.1.a,Reading Comprehension,LV,Level,4.25,8,0.1637,3.9292,4.5708,N,N,08/2024,Analyst
15-2051.01,Business Intelligence Analysts,2.A.1.b,Active Listening,IM,Importance,3.88,8,0.1250,3.6300,4.1200,N,,08/2024,Analyst
15-2051.01,Business Intelligence Analysts,2.A.1.b,Active Listening,LV,Level,4.00,8,0.0000,4.0000,4.0000,N,N,08/2024,Analyst
15-2051.01,Business Intelligence Analysts,2.A.1.c,Writing,IM,Importance,3.75,8,0.1637,3.4292,4.0708,N,,08/2024,Analyst
15-2051.01,Business Intelligence Analysts,2.A.1.c,Writing,LV,Level,4.00,8,0.0000,4.0000,4.0000,N,N,08/2024,Analyst
15-2051.01,Business Intelligence Analysts,2.A.1.d,Speaking,IM,Importance,3.88,8,0.1250,3.6300,4.1200,N,,08/2024,Analyst
15-2051.01,Business Intelligence Analysts,2.A.1.d,Speaking,LV,Level,4.00,8,0.0000,4.0000,4.0000,N,N,08/2024,Analyst
15-2051.01,Business Intelligence Analysts,2.A.1.e,Mathematics,IM,Importance,3.50,8,0.1890,3.1296,3.8704,N,,08/2024,Analyst
15-2051.01,Business Intelligence Analysts,2.A.1.e,Mathematics,LV,Level,3.88,8,0.2266,3.4309,4.3191,N,N,08/2024,Analyst
15-2051.01,Business Intelligence Analysts,2.A.1.f,Science,IM,Importance,1.62,8,0.1830,1.2664,1.9836,N,,08/2024,Analyst
15-2051.01,Business Intelligence Analysts,2.A.1.f,Science,LV,Level,0.75,8,0.2500,0.2600,1.2400,N,N,08/2024,Analyst
15-2051.01,Business Intelligence Analysts,2.A.2.a,Critical Thinking,IM,Importance,3.88,8,0.1250,3.6300,4.1200,N,,08/2024,Analyst
15-2051.01,Business Intelligence Analysts,2.A.2.a,Critical Thinking,LV,Level,4.25,8,0.1637,3.9292,4.5708,N,N,08/2024,Analyst
15-2051.01,Business Intelligence Analysts,2.A.2.b,Active Learning,IM,Importance,3.88,8,0.1250,3.6300,4.1200,N,,08/2024,Analyst
15-2051.01,Business Intelligence Analysts,2.A.2.b,Active Learning,LV,Level,4.12,8,0.1250,3.8800,4.3700,N,N,08/2024,Analyst
15-2051.01,Business Intelligence Analysts,2.A.2.c,Learning Strategies,IM,Importance,3.00,8,0.0000,3.0000,3.0000,N,,08/2024,Analyst
15-2051.01,Business Intelligence Analysts,2.A.2.c,Learning Strategies,LV,Level,3.00,8,0.0000,3.0000,3.0000,N,N,08/2024,Analyst
15-2051.01,Business Intelligence Analysts,2.A.2.d,Monitoring,IM,Importance,3.12,8,0.1250,2.8800,3.3700,N,,08/2024,Analyst
15-2051.01,Business Intelligence Analysts,2.A.2.d,Monitoring,LV,Level,3.25,8,0.1637,2.9292,3.5708,N,N,08/2024,Analyst
