O*NET-SOC Code,Title,Element ID,Element Name,Scale ID,Scale Name,Data Value,N,Standard Error,Lower CI Bound,Upper CI Bound,Recommend Suppress,Not Relevant,Date,Domain Source
15-2051.00,Data Scientists,2.C.1.a,Administration and Management,IM,Importance,2.12,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.1.a,Administration and Management,LV,Level,3.04,25,,,,,N,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.1.b,Administrative,IM,Importance,1.96,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.1.b,Administrative,LV,Level,2.44,25,,,,,N,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.1.c,Economics and Accounting,IM,Importance,1.84,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.1.c,Economics and Accounting,LV,Level,1.60,25,,,,,N,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.1.d,Sales and Marketing,IM,Importance,1.92,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.1.d,Sales and Marketing,LV,Level,2.08,25,,,,,N,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.1.e,Customer and Personal Service,IM,Importance,1.92,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.1.e,Customer and Personal Service,LV,Level,2.24,25,,,,,N,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.1.f,Personnel and Human Resources,IM,Importance,1.80,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.1.f,Personnel and Human Resources,LV,Level,2.16,25,,,,,N,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.2.a,Production and Processing,IM,Importance,1.84,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.2.a,Production and Processing,LV,Level,2.00,25,,,,,N,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.2.b,Food Production,IM,Importance,1.20,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.2.b,Food Production,LV,Level,0.48,25,,,,,Y,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.3.a,Computers and Electronics,IM,Importance,4.24,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.3.a,Computers and Electronics,LV,Level,5.84,25,,,,,N,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.3.b,Engineering and Technology,IM,Importance,2.88,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.3.b,Engineering and Technology,LV,Level,3.52,25,,,,,N,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.3.c,Design,IM,Importance,2.12,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.3.c,Design,LV,Level,2.48,25,,,,,N,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.3.d,Building and Construction,IM,Importance,1.33,24,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.3.d,Building and Construction,LV,Level,0.67,24,,,,,Y,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.3.e,Mechanical,IM,Importance,1.36,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.3.e,Mechanical,LV,Level,0.50,24,,,,,N,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.4.a,Mathematics,IM,Importance,4.52,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.4.a,Mathematics,LV,Level,5.68,25,,,,,N,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.4.b,Physics,IM,Importance,1.84,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.4.b,Physics,LV,Level,1.92,25,,,,,N,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.4.c,Chemistry,IM,Importance,1.28,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.4.c,Chemistry,LV,Level,0.64,25,,,,,Y,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.4.d,Biology,IM,Importance,1.28,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.4.d,Biology,LV,Level,0.80,25,,,,,Y,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.4.e,Psychology,IM,Importance,1.92,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.4.e,Psychology,LV,Level,2.04,25,,,,,N,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.4.f,Sociology and Anthropology,IM,Importance,1.72,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.4.f,Sociology and Anthropology,LV,Level,1.84,25,,,,,N,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.4.g,Geography,IM,Importance,1.52,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.4.g,Geography,LV,Level,1.68,25,,,,,N,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.5.a,Medicine and Dentistry,IM,Importance,1.44,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.5.a,Medicine and Dentistry,LV,Level,1.00,25,,,,,N,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.5.b,Therapy and Counseling,IM,Importance,1.20,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.5.b,Therapy and Counseling,LV,Level,0.52,25,,,,,Y,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.6,Education and Training,IM,Importance,2.28,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.6,Education and Training,LV,Level,2.92,24,,,,,N,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.7.a,English Language,IM,Importance,3.00,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.7.a,English Language,LV,Level,3.44,25,,,,,N,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.7.b,Foreign Language,IM,Importance,1.12,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.7.b,Foreign Language,LV,Level,0.36,25,,,,,Y,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.7.c,Fine Arts,IM,Importance,1.12,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.7.c,Fine Arts,LV,Level,0.20,25,,,,,Y,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.7.d,History and Archeology,IM,Importance,1.24,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.7.d,History and Archeology,LV,Level,0.60,25,,,,,Y,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.7.e,Philosophy and Theology,IM,Importance,1.40,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.7.e,Philosophy and Theology,LV,Level,0.92,25,,,,,N,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.8.a,Public Safety and Security,IM,Importance,1.56,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.8.a,Public Safety and Security,LV,Level,1.04,25,,,,,N,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.8.b,Law and Government,IM,Importance,1.68,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.8.b,Law and Government,LV,Level,1.60,25,,,,,N,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.9.a,Telecommunications,IM,Importance,1.48,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.9.a,Telecommunications,LV,Level,1.24,25,,,,,N,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.9.b,Communications and Media,IM,Importance,2.20,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.9.b,Communications and Media,LV,Level,2.08,25,,,,,N,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.10,Transportation,IM,Importance,1.28,25,,,,,,08/2026,Occupational Expert
15-2051.00,Data Scientists,2.C.10,Transportation,LV,Level,0.80,25,,,,,Y,08/2026,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.1.a,Administration and Management,IM,Importance,3.14,22,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.1.a,Administration and Management,LV,Level,4.14,22,,,,,N,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.1.b,Administrative,IM,Importance,2.43,21,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.1.b,Administrative,LV,Level,3.64,22,,,,,N,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.1.c,Economics and Accounting,IM,Importance,3.00,22,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.1.c,Economics and Accounting,LV,Level,3.59,22,,,,,N,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.1.d,Sales and Marketing,IM,Importance,2.45,22,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.1.d,Sales and Marketing,LV,Level,3.14,22,,,,,N,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.1.e,Customer and Personal Service,IM,Importance,3.10,21,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.1.e,Customer and Personal Service,LV,Level,3.76,21,,,,,N,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.1.f,Personnel and Human Resources,IM,Importance,1.91,22,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.1.f,Personnel and Human Resources,LV,Level,2.23,22,,,,,N,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.2.a,Production and Processing,IM,Importance,1.75,20,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.2.a,Production and Processing,LV,Level,1.57,21,,,,,N,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.2.b,Food Production,IM,Importance,1.14,21,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.2.b,Food Production,LV,Level,0.55,22,,,,,Y,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.3.a,Computers and Electronics,IM,Importance,4.29,21,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.3.a,Computers and Electronics,LV,Level,5.41,22,,,,,N,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.3.b,Engineering and Technology,IM,Importance,2.36,22,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.3.b,Engineering and Technology,LV,Level,2.77,22,,,,,N,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.3.c,Design,IM,Importance,2.43,21,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.3.c,Design,LV,Level,2.50,22,,,,,N,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.3.d,Building and Construction,IM,Importance,1.14,21,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.3.d,Building and Construction,LV,Level,0.45,22,,,,,Y,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.3.e,Mechanical,IM,Importance,1.14,22,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.3.e,Mechanical,LV,Level,0.32,22,,,,,Y,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.4.a,Mathematics,IM,Importance,3.82,22,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.4.a,Mathematics,LV,Level,4.67,21,,,,,N,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.4.b,Physics,IM,Importance,1.09,22,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.4.b,Physics,LV,Level,0.27,22,,,,,Y,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.4.c,Chemistry,IM,Importance,1.09,22,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.4.c,Chemistry,LV,Level,0.27,22,,,,,Y,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.4.d,Biology,IM,Importance,1.09,22,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.4.d,Biology,LV,Level,0.36,22,,,,,Y,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.4.e,Psychology,IM,Importance,2.18,22,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.4.e,Psychology,LV,Level,2.41,22,,,,,N,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.4.f,Sociology and Anthropology,IM,Importance,2.23,22,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.4.f,Sociology and Anthropology,LV,Level,2.59,22,,,,,N,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.4.g,Geography,IM,Importance,2.23,22,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.4.g,Geography,LV,Level,3.45,22,,,,,N,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.5.a,Medicine and Dentistry,IM,Importance,1.18,22,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.5.a,Medicine and Dentistry,LV,Level,0.45,22,,,,,Y,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.5.b,Therapy and Counseling,IM,Importance,1.18,22,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.5.b,Therapy and Counseling,LV,Level,0.32,22,,,,,Y,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.6,Education and Training,IM,Importance,2.50,22,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.6,Education and Training,LV,Level,3.32,22,,,,,N,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.7.a,English Language,IM,Importance,3.77,22,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.7.a,English Language,LV,Level,4.41,22,,,,,N,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.7.b,Foreign Language,IM,Importance,1.36,22,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.7.b,Foreign Language,LV,Level,0.77,22,,,,,N,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.7.c,Fine Arts,IM,Importance,1.50,22,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.7.c,Fine Arts,LV,Level,1.00,22,,,,,N,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.7.d,History and Archeology,IM,Importance,1.73,22,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.7.d,History and Archeology,LV,Level,1.77,22,,,,,N,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.7.e,Philosophy and Theology,IM,Importance,1.45,22,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.7.e,Philosophy and Theology,LV,Level,1.23,22,,,,,N,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.8.a,Public Safety and Security,IM,Importance,1.55,22,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.8.a,Public Safety and Security,LV,Level,1.00,22,,,,,N,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.8.b,Law and Government,IM,Importance,2.14,22,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.8.b,Law and Government,LV,Level,2.36,22,,,,,N,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.9.a,Telecommunications,IM,Importance,1.55,22,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.9.a,Telecommunications,LV,Level,1.14,22,,,,,N,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.9.b,Communications and Media,IM,Importance,2.59,22,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.9.b,Communications and Media,LV,Level,2.95,22,,,,,N,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.10,Transportation,IM,Importance,1.18,22,,,,,,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,2.C.10,Transportation,LV,Level,0.55,22,,,,,Y,08/2024,Occupational Expert
