O*NET-SOC Code,Title,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source
15-2051.01,Business Intelligence Analysts,16140,Manage timely flow of business intelligence information to users.,Core,22,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,16134,"Provide technical support for existing reports, dashboards, or other tools.",Core,21,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,16141,Identify and analyze industry or geographic trends with business strategy implications.,Core,22,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,16142,"Document specifications for business intelligence or information technology reports, dashboards, or other outputs.",Core,22,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,16144,"Create business intelligence tools or systems, including design of related databases, spreadsheets, or outputs.",Core,21,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,16146,"Collect business intelligence data from available industry reports, public information, field reports, or purchased sources.",Core,22,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,16143,"Disseminate information regarding tools, reports, or metadata enhancements.",Core,21,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,16145,Conduct or coordinate tests to ensure that intelligence is consistent with defined needs.,Core,22,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,16149,Synthesize current business intelligence or trend data to support recommendations for action.,Core,22,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,16148,"Analyze competitive market strategies through analysis of related product, market, or share trends.",Core,22,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,16136,"Identify or monitor current and potential customers, using business intelligence tools.",Core,22,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,16138,"Communicate with customers, competitors, suppliers, professional organizations, or others to stay abreast of industry or business trends.",Core,22,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,16135,"Maintain library of model documents, templates, or other reusable knowledge assets.",Core,22,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,16137,Create or review technical design documentation to ensure the accurate development of reporting solutions.,Core,22,08/2024,Occupational Expert
15-2051.01,Business Intelligence Analysts,16147,Analyze technology trends to identify markets for future product development or to improve sales of existing products.,Core,22,08/2024,Occupational Expert
